transcript_id,transcript_position,score
ENST00000000233,244,0.09793087964072303
ENST00000000233,261,0.43220087913111654
ENST00000000233,316,0.04214661855238338
ENST00000000233,332,0.19809888343193516
ENST00000000233,368,0.3419836728092714
ENST00000000233,404,0.21883901685426085
ENST00000000233,431,0.6593364072369952
ENST00000000233,440,0.04064908881198134
ENST00000000233,471,0.43952334017557637
ENST00000000233,539,0.56637644001984
ENST00000000233,571,0.3607333383618443
ENST00000000233,575,0.09005446951475811
ENST00000000233,665,0.6058711435003136
ENST00000000233,696,0.01488199514595826
ENST00000000233,752,0.06329495075535714
ENST00000000233,757,0.5645183481128118
ENST00000000233,765,0.7682427425137983
ENST00000000233,913,0.7744208996247982
ENST00000000412,355,0.21392732937470776
ENST00000000412,367,0.4534616827624661
ENST00000000412,496,0.24012809033232255
ENST00000000412,501,0.5730744146621997
ENST00000000412,547,0.053965754660410245
ENST00000000412,559,0.15284830440383776
ENST00000000412,627,0.02279860279189979
ENST00000000412,674,0.17730491633248097
ENST00000000412,769,0.11880748008804151
ENST00000000412,783,0.22638937893456026
ENST00000000412,793,0.22881379311207622
ENST00000000412,854,0.0664246997701088
ENST00000000412,923,0.1674267568187713
ENST00000000412,932,0.006888662083986063
ENST00000000412,1190,0.1452928833326043
ENST00000000412,1209,0.03151224423585449
ENST00000000412,1250,0.12854722283990946
ENST00000000412,1283,0.06685790400677971
ENST00000000412,1343,0.008657866505215411
ENST00000000412,1458,0.32904542331569453
ENST00000000412,1545,0.025302375038324557
ENST00000000412,1570,0.037149378296830536
ENST00000000412,1638,0.24328293420261254
ENST00000000412,1661,0.3431595101852109
ENST00000000412,1699,0.07106445381433132
ENST00000000412,1790,0.36293183197908035
ENST00000000412,1860,0.1202479035176445
ENST00000000412,1888,0.38661133343996856
ENST00000000412,1960,0.2884608401184829
ENST00000000412,1986,0.6136433583907746
ENST00000000412,2195,0.03163749582216104
ENST00000000412,2230,0.11026205475631357
ENST00000000412,2275,0.28011755470719824
ENST00000000412,2434,0.029563578898250044
ENST00000000412,2462,0.15786653933496286
