transcript_id,transcript_position,score
AT1G01050.1,155,0.07030154609886544
AT1G01050.1,165,0.006049551930866318
AT1G01050.1,347,0.24060510120139936
AT1G01050.1,435,0.2051418868406386
AT1G01050.2,463,0.08718070450425217
AT1G01050.1,549,0.09755931851111492
AT1G01060.1,346,0.10886660226039274
AT1G01060.2,456,0.10886660226039274
AT1G01060.3,263,0.10886660226039274
AT1G01060.4,286,0.10886660226039274
AT1G01060.5,547,0.10886660226039274
AT1G01060.7,546,0.10886660226039274
AT1G01060.1,521,0.7227676542314989
AT1G01060.2,631,0.7227676542314989
AT1G01060.3,438,0.7227676542314989
AT1G01060.4,461,0.7227676542314989
AT1G01060.5,722,0.42931301850621806
AT1G01060.7,721,0.7227676542314989
AT1G01060.1,602,0.5293851392156965
AT1G01060.2,712,0.5293851392156965
AT1G01060.3,519,0.5293851392156965
AT1G01060.4,542,0.5293851392156965
AT1G01060.5,803,0.49628869321648683
AT1G01060.7,802,0.5293851392156965
AT1G01060.1,736,0.022267104778956406
AT1G01060.2,846,0.022267104778956406
AT1G01060.3,653,0.022267104778956406
AT1G01060.4,676,0.022267104778956406
AT1G01060.5,1055,0.019780781174211136
AT1G01060.7,936,0.022267104778956406
AT1G01060.1,768,0.14690330697410464
AT1G01060.2,878,0.14690330697410464
AT1G01060.3,685,0.12201647204522494
AT1G01060.4,708,0.14690330697410464
AT1G01060.5,1087,0.12205342600410844
AT1G01060.7,968,0.14690330697410464
AT1G01060.1,945,0.46070659611134696
AT1G01060.2,1055,0.46070659611134696
AT1G01060.3,862,0.4660929491953857
AT1G01060.4,885,0.46070659611134696
AT1G01060.5,1264,0.4354228892464774
AT1G01060.6,1264,0.41546921311817653
AT1G01060.7,1145,0.46070659611134696
AT1G01060.1,1011,0.5531085201951965
AT1G01060.2,1121,0.4922889290432178
AT1G01060.3,928,0.5882738362684962
AT1G01060.4,948,0.5531085201951965
AT1G01060.5,1330,0.5457473265778683
AT1G01060.7,1211,0.4922889290432178
AT1G01060.1,1089,0.15535799293248978
AT1G01060.2,1199,0.15535799293248978
AT1G01060.3,1006,0.1286200509523831
AT1G01060.4,1026,0.15535799293248978
AT1G01060.5,1408,0.1426339860375528
AT1G01060.7,1289,0.15535799293248978
AT1G01060.1,1205,0.18701406564231254
AT1G01060.2,1315,0.23033424700820435
AT1G01060.3,1122,0.17163098113113007
AT1G01060.4,1142,0.18701406564231254
AT1G01060.5,1524,0.2501740226009543
AT1G01060.6,1524,0.2223075761894709
AT1G01060.7,1405,0.23033424700820435
AT1G01060.1,1559,0.010201318986274306
AT1G01060.2,1669,0.01164473700013112
AT1G01060.3,1476,0.021972773243273323
AT1G01060.4,1496,0.010201318986274306
AT1G01060.5,1878,0.0376712899875632
AT1G01060.6,1878,0.012009462532147117
AT1G01060.7,1759,0.01164473700013112
AT1G01060.8,1288,0.009590703300671726
AT1G01060.1,1645,0.043939917877461945
AT1G01060.2,1755,0.043939917877461945
AT1G01060.3,1562,0.04566791513377391
AT1G01060.4,1582,0.043939917877461945
AT1G01060.5,1964,0.02254982233978597
AT1G01060.6,1964,0.043939917877461945
AT1G01060.7,1845,0.043939917877461945
AT1G01060.8,1374,0.015068762768215381
AT1G01060.1,1671,0.23309802832872234
AT1G01060.2,1781,0.23309802832872234
AT1G01060.3,1588,0.23309802832872234
AT1G01060.4,1608,0.23309802832872234
AT1G01060.5,1990,0.23309802832872234
AT1G01060.6,1990,0.27327372857783927
AT1G01060.7,1871,0.23309802832872234
AT1G01060.8,1400,0.22230261843903332
AT1G01060.1,1727,0.01571742234772136
